,total_loan_costs,derived_dwelling_category,derived_ethnicity,applicant_race_1,applicant_sex,loan_type,loan_purpose,loan_amount,interest_rate,total_loan_costs,loan_term,property_value,occupancy_type,applicant_age,income,denial_reason_1
0,7436.14,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,215000,6.5,7436.14,360,225000,1,25-34,59,10
1,16155.19,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,1,2,1,445000,6.75,16155.19,360,475000,1,45-54,202,10
3,22789.69,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,2,1,425000,7.125,22789.69,360,455000,1,45-54,150,10
6,5541.36,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,2,1,1,85000,6.375,5541.36,360,115000,1,>74,68,10
7,6712.94,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,455000,7.375,6712.94,360,515000,1,45-54,133,10
8,12457.9,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,6,1,3,1,335000,6.875,12457.9,360,335000,1,25-34,75,10
9,5435.31,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,195000,6.875,5435.31,360,385000,1,35-44,60,10
10,5321.81,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,5,1,1,1,175000,7.125,5321.81,360,255000,1,45-54,44,10
12,7698.28,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,2,1,225000,6.875,7698.28,360,235000,1,25-34,91,10
13,15592.2,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,535000,6.625,15592.2,360,545000,1,35-44,117,10
14,5428.93,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,325000,6.5,5428.93,360,445000,1,45-54,153,10
15,17782.4,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,2,1,445000,6.5,17782.4,360,465000,1,35-44,99,10
16,9708.23,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,315000,6.375,9708.23,360,385000,1,45-54,162,10
17,4708.18,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,335000,7.5,4708.18,360,475000,1,25-34,85,10
18,10461.55,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,445000,6.75,10461.55,360,465000,1,35-44,285,10
20,11610.81,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,2,1,455000,7,11610.81,360,455000,1,25-34,135,10
21,8012.1,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,165000,5.875,8012.1,360,175000,1,<25,37,10
22,21715.85,Single Family (1-4 Units):Site-Built,Joint,5,2,1,1,955000,6.875,21715.85,360,1105000,1,35-44,183,10
23,6927.98,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,245000,6.999,6927.98,360,315000,1,65-74,79,10
25,15404.02,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,375000,6.875,15404.02,360,415000,1,25-34,113,10
29,25576.94,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,2,1,485000,5.875,25576.94,360,495000,1,35-44,128,10
30,8221.52,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,1,405000,6.5,8221.52,360,455000,1,35-44,109,10
31,4316.32,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,205000,7.375,4316.32,360,265000,1,45-54,69,10
34,11964.83,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,2,1,425000,7.625,11964.83,360,505000,1,35-44,179,10
39,21613.12,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,6,1,1,965000,7.625,21613.12,360,1075000,1,55-64,460,10
43,12434.66,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,2,1,335000,7,12434.66,360,375000,1,25-34,84,10
44,15331.05,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,425000,6.875,15331.05,360,445000,1,35-44,129,10
45,6188.49,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,195000,6.625,6188.49,360,245000,1,35-44,63,10
49,3888.55,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,3,1,295000,7.25,3888.55,360,295000,1,35-44,76,10
51,4866.95,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,85000,5.99,4866.95,180,215000,1,55-64,38,10
57,5292.1,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,1,1,665000,7.25,5292.1,360,695000,1,45-54,155,10
59,4535.11,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,105000,6.99,4535.11,360,155000,1,55-64,27,10
60,14943.39,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,255000,6.375,14943.39,360,265000,1,35-44,68,10
62,5297.91,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,1,1,1,225000,7.675,5297.91,360,275000,1,45-54,111,10
63,11342.39,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,285000,6.625,11342.39,360,285000,1,25-34,142,10
64,2869.95,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,125000,7.625,2869.95,360,135000,1,25-34,110,10
67,8185.23,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,2,1,245000,6.75,8185.23,360,255000,1,<25,103,10
69,19033.86,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,605000,6.125,19033.86,360,665000,1,>74,182,10
70,3109.95,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,6,1,1,1,105000,6.125,3109.95,360,525000,1,45-54,43,10
74,5398.25,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,145000,6.75,5398.25,360,185000,1,55-64,95,10
75,8602.93,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,195000,7.375,8602.93,360,245000,2,45-54,285,10
77,4647.58,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,165000,6.999,4647.58,360,175000,1,35-44,54,10
80,7941.14,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,6,1,1,1,275000,6.625,7941.14,360,375000,2,35-44,123,10
86,16823.66,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,285000,6.75,16823.66,360,295000,1,55-64,100,10
91,7008.15,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,175000,7.625,7008.15,360,245000,1,45-54,51,10
98,10316.31,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,375000,6.625,10316.31,360,425000,1,55-64,156,10
101,5169.95,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,635000,6.999,5169.95,360,845000,1,25-34,194,10
105,3740.65,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,1,3,1,185000,7.25,3740.65,360,185000,1,45-54,91,10
106,10447.25,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,31,415000,6.625,10447.25,360,705000,1,45-54,199,10
108,6938.58,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,185000,7.375,6938.58,360,195000,1,25-34,77,10
