denial_reason_1,derived_dwelling_category,derived_ethnicity,applicant_race_1,applicant_sex,loan_type,loan_purpose,loan_amount,interest_rate,loan_term,property_value,occupancy_type,applicant_age,income
10,3,4,3,2,4,1,185000,5.124,360,185000,1,0,59
10,3,4,3,2,1,32,175000,3.375,240,315000,1,3,58
10,3,0,6,3,1,31,225000,3.625,360,275000,1,2,67
1,3,0,6,3,1,4,65000,4.949534551,360,450057.0659,3,3,106
10,3,4,5,1,1,1,285000,4.875,360,385000,1,6,228
10,3,2,3,2,2,32,245000,5.25,360,305000,1,1,71
3,3,4,5,1,1,32,105000,4.949534551,360,405000,1,4,36
10,3,0,6,1,1,4,275000,6.99,300,1365000,1,0,269
10,3,4,5,2,1,1,215000,5,360,225000,1,2,80
10,3,4,5,2,1,32,295000,4.949534551,360,450057.0659,1,2,60
10,3,4,5,1,2,31,265000,4.949534551,360,450057.0659,1,0,40
10,3,4,21,1,1,1,445000,4.375,180,565000,1,1,205
10,3,4,3,2,1,32,515000,4.949534551,360,450057.0659,1,1,131
10,3,4,5,1,1,1,525000,7,360,655000,1,1,178
10,3,0,6,1,1,1,285000,4.949534551,360,450057.0659,3,2,380
10,2,4,6,2,2,32,135000,4.5,360,165000,1,1,43
10,3,4,5,1,4,1,245000,5.75,360,255000,1,0,80
10,3,4,3,1,2,1,565000,4.949534551,360,450057.0659,1,2,90
10,3,0,6,1,1,32,205000,4.949534551,180,450057.0659,1,3,149
10,3,0,7,4,2,1,275000,4.75,360,275000,1,5,125.2476928
10,3,0,7,4,1,1,265000,5.75,360,375000,2,5,125.2476928
10,3,4,5,2,1,31,165000,5.375,360,425000,1,4,79
10,3,4,5,2,1,32,205000,4.5,360,315000,1,3,55
10,3,4,5,1,2,1,165000,5.625,360,165000,1,0,50
10,3,0,6,2,2,1,185000,3.25,360,185000,1,0,54
10,3,4,5,2,1,1,365000,4.375,360,455000,1,0,132
10,3,4,5,1,1,1,545000,6,360,675000,1,1,340
10,3,0,6,3,1,32,1155000,4.949534551,360,450057.0659,1,7,38
10,3,4,5,1,2,1,285000,7.125,360,295000,1,0,92
10,3,4,5,1,1,1,175000,4.4,367,345000,1,2,68
10,3,4,5,1,2,1,235000,5.625,360,235000,1,1,68
10,3,4,5,1,1,1,275000,4.875,360,325000,3,6,138
10,3,4,5,2,1,1,205000,5.5,360,255000,1,1,105
10,3,4,5,1,1,2,395000,5,180,525000,1,2,76
10,3,2,5,1,1,1,405000,3.625,360,425000,1,2,141
10,3,4,5,2,1,4,35000,4.5,180,495000,1,4,63
10,3,0,7,4,2,1,345000,4.625,360,345000,1,5,125.2476928
10,3,2,5,1,1,2,85000,5.94,300,525000,1,0,132
10,3,0,6,1,1,1,275000,3.875,360,315000,1,0,123
10,3,2,6,2,1,1,205000,4.949534551,360,450057.0659,1,2,61
10,3,4,5,1,1,1,305000,5.49,360,385000,1,2,142
10,3,4,5,1,1,31,185000,2.25,180,545000,1,3,104
10,3,4,5,2,1,1,355000,6.375,360,375000,1,2,119
10,3,4,5,2,2,1,135000,5.875,360,145000,1,0,30
3,3,0,5,3,1,31,265000,4.949534551,360,105000,1,2,12
10,3,4,5,1,1,1,135000,6.125,360,225000,1,0,52
10,3,4,5,1,3,32,655000,4.949534551,360,450057.0659,1,7,192
10,3,4,5,2,1,1,155000,5.625,360,185000,1,3,50
10,3,4,5,2,2,1,155000,3.125,360,165000,1,0,49
10,3,4,3,3,1,32,55000,4.949534551,360,450057.0659,1,3,40
10,3,3,5,1,1,1,345000,6.875,360,355000,1,0,75
10,3,4,5,1,1,1,215000,4.949534551,180,450057.0659,3,1,219
3,3,4,5,1,2,32,125000,4.949534551,360,165000,1,2,58
10,3,0,6,1,1,32,75000,4.24,360,775000,1,1,155
10,3,4,5,1,1,1,245000,4.625,360,305000,1,1,86
10,3,0,6,2,1,1,345000,5.75,360,455000,1,6,86
10,3,2,5,1,1,1,15000,1,360,365000,1,0,84
10,3,4,5,1,1,1,395000,5.625,360,495000,1,0,200
10,3,4,5,1,1,1,165000,3.375,240,205000,2,2,112
10,3,0,6,1,1,1,105000,5.49,360,125000,1,0,60
10,3,4,5,2,2,1,105000,5.5,360,105000,1,1,46
10,3,4,3,3,1,32,125000,4.949534551,360,450057.0659,1,2,60
10,3,4,5,1,1,32,435000,4.5,360,625000,1,4,188
10,3,4,5,2,2,32,265000,4.949534551,360,450057.0659,1,4,41
10,3,4,5,2,1,31,155000,4.25,360,305000,1,3,48
10,3,4,5,2,1,1,85000,4.949534551,360,450057.0659,1,3,33
10,3,2,5,1,1,1,155000,6.49,360,225000,1,3,41
10,3,4,5,2,2,1,115000,5.75,360,115000,1,1,58
10,3,4,5,2,1,32,185000,4.949534551,240,450057.0659,1,2,60
10,3,0,7,4,1,1,1355000,4.76,120,1805000,3,5,125.2476928
10,3,4,5,2,2,1,195000,4.949534551,360,450057.0659,1,6,87
10,3,4,5,2,1,31,65000,4.75,120,405000,1,2,162
7,3,0,6,1,1,31,285000,4.949534551,360,355000,1,1,64
10,3,0,6,1,1,32,265000,3.875,360,425000,3,4,125.2476928
10,3,4,5,2,1,1,395000,3.375,360,445000,1,1,118
10,3,0,7,4,1,32,65000,5.74,360,775000,1,5,125.2476928
10,3,4,3,1,2,1,185000,4.949534551,360,450057.0659,1,1,72
10,3,4,5,1,1,1,385000,5.125,360,485000,1,0,120
10,3,4,5,1,1,31,205000,3.625,360,255000,1,0,118
1,3,4,5,2,1,32,45000,4.949534551,180,445000,1,0,46
10,3,4,3,3,1,32,195000,4.949534551,360,450057.0659,1,7,16
4,3,0,6,1,1,1,5000,4.949534551,180,195000,1,0,60
10,3,4,5,1,2,32,245000,4.949534551,360,450057.0659,1,3,78
10,3,0,6,1,2,32,295000,5.25,360,455000,1,1,66
10,3,4,5,2,1,32,125000,4.949534551,360,450057.0659,1,2,39
10,3,4,2,1,1,1,675000,4.949534551,360,450057.0659,1,1,353
3,3,4,3,2,3,32,175000,4.949534551,360,195000,1,6,55
10,3,2,6,1,1,1,775000,4.949534551,360,450057.0659,1,1,148
10,3,4,2,1,1,1,205000,2.875,180,995000,1,3,79
10,3,0,6,2,1,1,535000,4.625,360,765000,1,1,199
